sysDescr,['Linux gerencia-VirtualBox 4.15.0-54-generic #58-Ubuntu SMP Mon Jun 24 10:55:24 UTC 2019 x86_64']
ipAdEntAddr,['127.0.0.1']
ipAdEntIfIndex,['2']
ipAdEntIfIndex,['1']
ipAdEntNetMask,['255.255.255.0']
ipAdEntNetMask,['255.0.0.0']
ipAdEntBcastAddr,['1']
ipAdEntBcastAddr,['0']
ip.21.1.1.0.0.0.0,['0.0.0.0']
ip.21.1.1.10.0.2.0,['10.0.2.0']
ip.21.1.1.169.254.0.0,['169.254.0.0']
ip.21.1.2.0.0.0.0,['2']
ip.21.1.2.10.0.2.0,['2']
ip.21.1.2.169.254.0.0,['2']
ip.21.1.3.0.0.0.0,['1']
ip.21.1.3.10.0.2.0,['0']
ip.21.1.3.169.254.0.0,['0']
ip.21.1.7.0.0.0.0,['10.0.2.2']
ip.21.1.7.10.0.2.0,['0.0.0.0']
ip.21.1.7.169.254.0.0,['0.0.0.0']
ip.21.1.8.0.0.0.0,['4']
ip.21.1.8.10.0.2.0,['3']
ip.21.1.8.169.254.0.0,['3']
ip.21.1.9.0.0.0.0,['2']
ip.21.1.9.10.0.2.0,['2']
ip.21.1.9.169.254.0.0,['2']
ip.21.1.11.0.0.0.0,['0.0.0.0']
ip.21.1.11.10.0.2.0,['255.255.255.0']
ip.21.1.11.169.254.0.0,['255.255.0.0']
ip.21.1.13.0.0.0.0,['.0.0']
ip.21.1.13.10.0.2.0,['.0.0']
ip.21.1.13.169.254.0.0,['.0.0']
ipNetToMediaIfIndex,['2']
ipNetToMediaPhysAddress,['RT\x00\x125\x02']
ipNetToMediaNetAddress,['10.0.2.2']
ipNetToMediaType,['3']
ipRoutingDiscards,['0']
ipCidrRouteDest,['0.0.0.0']
ipCidrRouteDest,['10.0.2.0']
ipCidrRouteDest,['169.254.0.0']
ipCidrRouteMask,['0.0.0.0']
ipCidrRouteMask,['255.255.255.0']
ipCidrRouteMask,['255.255.0.0']
ipCidrRouteTos,['0']
ipCidrRouteTos,['0']
ipCidrRouteTos,['0']
ipCidrRouteNextHop,['10.0.2.2']
ipCidrRouteNextHop,['0.0.0.0']
ipCidrRouteNextHop,['0.0.0.0']
ipCidrRouteIfIndex,['2']
ipCidrRouteIfIndex,['2']
ipCidrRouteIfIndex,['2']
ipCidrRouteType,['4']
ipCidrRouteType,['3']
ipCidrRouteType,['3']
ipCidrRouteProto,['2']
ipCidrRouteProto,['2']
ipCidrRouteProto,['2']
ipCidrRouteInfo,['.0.0']
ipCidrRouteInfo,['.0.0']
ipCidrRouteInfo,['.0.0']
ipCidrRouteNextHopAS,['0']
ipCidrRouteNextHopAS,['0']
ipCidrRouteNextHopAS,['0']
ipCidrRouteMetric1,['100']
ipCidrRouteMetric1,['100']
ipCidrRouteMetric1,['1000']
ipCidrRouteMetric2,['-1']
ipCidrRouteMetric2,['-1']
ipCidrRouteMetric2,['-1']
ipCidrRouteMetric3,['-1']
ipCidrRouteMetric3,['-1']
ipCidrRouteMetric3,['-1']
ipCidrRouteMetric4,['-1']
ipCidrRouteMetric4,['-1']
ipCidrRouteMetric4,['-1']
ipCidrRouteMetric5,['-1']
ipCidrRouteMetric5,['-1']
ipCidrRouteMetric5,['-1']
ipCidrRouteStatus,['1']
ipCidrRouteStatus,['1']
ipCidrRouteStatus,['1']
inetCidrRouteNumber,['8']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['1']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['2']
inetCidrRouteIfIndex,['2']
inetCidrRouteType,['4']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteType,['3']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteProto,['2']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteAge,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteNextHopAS,['0']
inetCidrRouteMetric1,['100']
inetCidrRouteMetric1,['100']
inetCidrRouteMetric1,['1000']
inetCidrRouteMetric1,['0']
inetCidrRouteMetric1,['100']
inetCidrRouteMetric1,['256']
inetCidrRouteMetric1,['0']
inetCidrRouteMetric1,['256']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric2,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric3,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric4,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteMetric5,['-1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
inetCidrRouteStatus,['1']
ipv6IpForwarding,['2']
ipv6IpDefaultHopLimit,['64']
ipSystemStatsInReceives,['441313']
ipSystemStatsInReceives,['25']
ipSystemStatsHCInReceives,['441313']
ipSystemStatsHCInReceives,['25']
ipSystemStatsInOctets,['115595820']
ipSystemStatsInOctets,['2829']
ipSystemStatsHCInOctets,['115595820']
ipSystemStatsHCInOctets,['2829']
ipSystemStatsInHdrErrors,['0']
ipSystemStatsInHdrErrors,['0']
ipSystemStatsInNoRoutes,['0']
ipSystemStatsInNoRoutes,['25']
ipSystemStatsInAddrErrors,['1']
ipSystemStatsInAddrErrors,['0']
ipSystemStatsInUnknownProtos,['0']
ipSystemStatsInUnknownProtos,['0']
ipSystemStatsInTruncatedPkts,['0']
ipSystemStatsInTruncatedPkts,['0']
ipSystemStatsInForwDatagrams,['0']
ipSystemStatsInForwDatagrams,['25']
ipSystemStatsHCInForwDatagrams,['0']
ipSystemStatsHCInForwDatagrams,['25']
ipSystemStatsReasmReqds,['0']
ipSystemStatsReasmReqds,['0']
ipSystemStatsReasmOKs,['0']
ipSystemStatsReasmOKs,['0']
ipSystemStatsReasmFails,['0']
ipSystemStatsReasmFails,['0']
ipSystemStatsInDiscards,['0']
ipSystemStatsInDiscards,['0']
ipSystemStatsInDelivers,['441310']
ipSystemStatsInDelivers,['25']
ipSystemStatsHCInDelivers,['441310']
ipSystemStatsHCInDelivers,['25']
ipSystemStatsOutRequests,['440553']
ipSystemStatsOutRequests,['35']
ipSystemStatsHCOutRequests,['440553']
ipSystemStatsHCOutRequests,['35']
ipSystemStatsOutNoRoutes,['0']
ipSystemStatsOutNoRoutes,['62']
ipSystemStatsOutForwDatagrams,['0']
ipSystemStatsOutForwDatagrams,['0']
ipSystemStatsHCOutForwDatagrams,['0']
ipSystemStatsHCOutForwDatagrams,['0']
ipSystemStatsOutDiscards,['0']
ipSystemStatsOutDiscards,['0']
ipSystemStatsOutFragReqds,['0']
ipSystemStatsOutFragReqds,['0']
ipSystemStatsOutFragOKs,['0']
ipSystemStatsOutFragOKs,['0']
ipSystemStatsOutFragFails,['0']
ipSystemStatsOutFragFails,['0']
ipSystemStatsOutFragCreates,['0']
ipSystemStatsOutFragCreates,['0']
ipSystemStatsOutTransmits,['440553']
ipSystemStatsOutTransmits,['4294967269']
ipSystemStatsHCOutTransmits,['440553']
ipSystemStatsHCOutTransmits,['18446744073709551589']
ipSystemStatsOutOctets,['81811205']
ipSystemStatsOutOctets,['3521']
ipSystemStatsHCOutOctets,['81811205']
ipSystemStatsHCOutOctets,['3521']
ipSystemStatsInMcastPkts,['47']
ipSystemStatsInMcastPkts,['19']
ipSystemStatsHCInMcastPkts,['47']
ipSystemStatsHCInMcastPkts,['19']
ipSystemStatsInMcastOctets,['5307']
ipSystemStatsInMcastOctets,['2439']
ipSystemStatsHCInMcastOctets,['5307']
ipSystemStatsHCInMcastOctets,['2439']
ipSystemStatsOutMcastPkts,['49']
ipSystemStatsOutMcastPkts,['31']
ipSystemStatsHCOutMcastPkts,['49']
ipSystemStatsHCOutMcastPkts,['31']
ipSystemStatsOutMcastOctets,['5387']
ipSystemStatsOutMcastOctets,['3283']
ipSystemStatsHCOutMcastOctets,['5387']
ipSystemStatsHCOutMcastOctets,['3283']
ipSystemStatsInBcastPkts,['0']
ipSystemStatsHCInBcastPkts,['0']
ipSystemStatsOutBcastPkts,['0']
ipSystemStatsHCOutBcastPkts,['0']
ipSystemStatsDiscontinuityTime,['0']
ipSystemStatsDiscontinuityTime,['0']
ipSystemStatsRefreshRate,['60000']
ipSystemStatsRefreshRate,['60000']
ipIfStatsTableLastChange,['0']
ipIfStatsInReceives,['6']
ipIfStatsInReceives,['19']
ipIfStatsHCInReceives,['6']
ipIfStatsHCInReceives,['19']
ipIfStatsInOctets,['390']
ipIfStatsInOctets,['2439']
ipIfStatsHCInOctets,['390']
ipIfStatsHCInOctets,['2439']
ipIfStatsInHdrErrors,['0']
ipIfStatsInHdrErrors,['0']
ipIfStatsInNoRoutes,['6']
ipIfStatsInNoRoutes,['19']
ipIfStatsInAddrErrors,['0']
ipIfStatsInAddrErrors,['0']
ipIfStatsInUnknownProtos,['0']
ipIfStatsInUnknownProtos,['0']
ipIfStatsInTruncatedPkts,['0']
ipIfStatsInTruncatedPkts,['0']
ipIfStatsInForwDatagrams,['6']
ipIfStatsInForwDatagrams,['19']
ipIfStatsHCInForwDatagrams,['6']
ipIfStatsHCInForwDatagrams,['19']
ipIfStatsReasmReqds,['0']
ipIfStatsReasmReqds,['0']
ipIfStatsReasmOKs,['0']
ipIfStatsReasmOKs,['0']
ipIfStatsReasmFails,['0']
ipIfStatsReasmFails,['0']
ipIfStatsInDiscards,['0']
ipIfStatsInDiscards,['0']
ipIfStatsInDelivers,['6']
ipIfStatsInDelivers,['19']
ipIfStatsHCInDelivers,['6']
ipIfStatsHCInDelivers,['19']
ipIfStatsOutRequests,['6']
ipIfStatsOutRequests,['29']
ipIfStatsHCOutRequests,['6']
ipIfStatsHCOutRequests,['29']
ipIfStatsOutForwDatagrams,['0']
ipIfStatsOutForwDatagrams,['0']
ipIfStatsHCOutForwDatagrams,['0']
ipIfStatsHCOutForwDatagrams,['0']
ipIfStatsOutDiscards,['0']
ipIfStatsOutDiscards,['0']
ipIfStatsOutFragReqds,['0']
ipIfStatsOutFragReqds,['0']
ipIfStatsOutFragOKs,['0']
ipIfStatsOutFragOKs,['0']
ipIfStatsOutFragFails,['0']
ipIfStatsOutFragFails,['0']
ipIfStatsOutFragCreates,['0']
ipIfStatsOutFragCreates,['0']
ipIfStatsOutTransmits,['6']
ipIfStatsOutTransmits,['29']
ipIfStatsHCOutTransmits,['6']
ipIfStatsHCOutTransmits,['29']
ipIfStatsOutOctets,['390']
ipIfStatsOutOctets,['3131']
ipIfStatsHCOutOctets,['390']
ipIfStatsHCOutOctets,['3131']
ipIfStatsInMcastPkts,['0']
ipIfStatsInMcastPkts,['19']
ipIfStatsHCInMcastPkts,['0']
ipIfStatsHCInMcastPkts,['19']
ipIfStatsInMcastOctets,['0']
ipIfStatsInMcastOctets,['2439']
ipIfStatsHCInMcastOctets,['0']
ipIfStatsHCInMcastOctets,['2439']
ipIfStatsOutMcastPkts,['2']
ipIfStatsOutMcastPkts,['29']
ipIfStatsHCOutMcastPkts,['2']
ipIfStatsHCOutMcastPkts,['29']
ipIfStatsOutMcastOctets,['152']
ipIfStatsOutMcastOctets,['3131']
ipIfStatsHCOutMcastOctets,['152']
ipIfStatsHCOutMcastOctets,['3131']
ipIfStatsDiscontinuityTime,['0']
ipIfStatsDiscontinuityTime,['0']
ipIfStatsRefreshRate,['60000']
ipIfStatsRefreshRate,['60000']
ipAddressPrefixOrigin,['2']
ipAddressPrefixOrigin,['2']
ipAddressPrefixOrigin,['2']
ipAddressPrefixOrigin,['3']
ipAddressPrefixOnLinkFlag,['1']
ipAddressPrefixOnLinkFlag,['1']
ipAddressPrefixOnLinkFlag,['1']
ipAddressPrefixOnLinkFlag,['1']
ipAddressPrefixAutonomousFlag,['2']
ipAddressPrefixAutonomousFlag,['2']
ipAddressPrefixAutonomousFlag,['2']
ipAddressPrefixAutonomousFlag,['2']
ipAddressPrefixAdvPreferredLifetime,['4294967295']
ipAddressPrefixAdvPreferredLifetime,['4294967295']
ipAddressPrefixAdvPreferredLifetime,['4294967295']
ipAddressPrefixAdvPreferredLifetime,['4294967295']
ipAddressPrefixAdvValidLifetime,['4294967295']
ipAddressPrefixAdvValidLifetime,['4294967295']
ipAddressPrefixAdvValidLifetime,['4294967295']
ipAddressPrefixAdvValidLifetime,['4294967295']
ipAddressSpinLock,['677786524']
ipAddressIfIndex,['2']
ipAddressIfIndex,['2']
ipAddressIfIndex,['1']
ipAddressIfIndex,['1']
ipAddressIfIndex,['2']
ipAddressType,['1']
ipAddressType,['3']
ipAddressType,['1']
ipAddressType,['1']
ipAddressType,['1']
ipAddressPrefix,['.1.3.6.1.2.1.4.32.1.5.2.1.4.10.0.2.0.24']
ipAddressPrefix,['.1.3.6.1.2.1.4.32.1.5.2.1.4.10.0.2.0.24']
ipAddressPrefix,['.1.3.6.1.2.1.4.32.1.5.1.1.4.127.0.0.0.8']
ipAddressPrefix,['.1.3.6.1.2.1.4.32.1.5.1.2.16.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.128']
ipAddressPrefix,['.1.3.6.1.2.1.4.32.1.5.2.2.16.254.128.0.0.0.0.0.0.0.0.0.0.0.0.0.0.64']
ipAddressOrigin,['2']
ipAddressOrigin,['2']
ipAddressOrigin,['2']
ipAddressOrigin,['2']
ipAddressOrigin,['5']
ipAddressStatus,['1']
ipAddressStatus,['1']
ipAddressStatus,['1']
ipAddressStatus,['1']
ipAddressStatus,['1']
ipAddressCreated,['0']
ipAddressCreated,['0']
ipAddressCreated,['0']
ipAddressCreated,['0']
ipAddressCreated,['0']
ipAddressLastChanged,['0']
ipAddressLastChanged,['0']
ipAddressLastChanged,['0']
ipAddressLastChanged,['0']
ipAddressLastChanged,['0']
ipAddressRowStatus,['1']
ipAddressRowStatus,['1']
ipAddressRowStatus,['1']
ipAddressRowStatus,['1']
ipAddressRowStatus,['1']
ipAddressStorageType,['2']
ipAddressStorageType,['2']
ipAddressStorageType,['2']
ipAddressStorageType,['2']
ipAddressStorageType,['4']
ipNetToPhysicalPhysAddress,['RT\x00\x125\x02']
ipNetToPhysicalLastUpdated,['473860']
ipNetToPhysicalType,['3']
ipNetToPhysicalState,['2']
ipNetToPhysicalRowStatus,['1']
ipv6ScopeZoneIndexLinkLocal,['2']
ipv6ScopeZoneIndex3,['0']
ipv6ScopeZoneIndexAdminLocal,['0']
ipv6ScopeZoneIndexSiteLocal,['0']
ipv6ScopeZoneIndex6,['0']
ipv6ScopeZoneIndex7,['0']
ipv6ScopeZoneIndexOrganizationLocal,['0']
ipv6ScopeZoneIndex9,['0']
ipv6ScopeZoneIndexA,['0']
ipv6ScopeZoneIndexB,['0']
ipv6ScopeZoneIndexC,['0']
ipv6ScopeZoneIndexD,['0']
ipDefaultRouterLifetime,['4294967295']
ipDefaultRouterPreference,['0']
icmpInMsgs,['3']
icmpInErrors,['0']
icmpInDestUnreachs,['0']
icmpInTimeExcds,['3']
icmpInParmProbs,['0']
icmpInSrcQuenchs,['0']
icmpInRedirects,['0']
icmpInEchos,['0']
icmpInEchoReps,['0']
icmpInTimestamps,['0']
icmpInTimestampReps,['0']
icmpInAddrMasks,['0']
icmpInAddrMaskReps,['0']
icmpOutMsgs,['0']
icmpOutErrors,['4']
icmpOutDestUnreachs,['0']
icmpOutTimeExcds,['4']
icmpOutParmProbs,['0']
icmpOutSrcQuenchs,['0']
icmpOutRedirects,['0']
icmpOutEchos,['0']
icmpOutEchoReps,['0']
icmpOutTimestamps,['0']
icmpOutTimestampReps,['0']
icmpOutAddrMasks,['0']
icmpOutAddrMaskReps,['0']
icmpStatsInMsgs,['3']
icmpStatsInMsgs,['2']
icmpStatsInErrors,['0']
icmpStatsInErrors,['0']
icmpStatsOutMsgs,['0']
icmpStatsOutMsgs,['12']
icmpStatsOutErrors,['4']
icmpStatsOutErrors,['0']
icmpMsgStatsInPkts,['3']
icmpMsgStatsInPkts,['2']
icmpMsgStatsOutPkts,['4']
icmpMsgStatsOutPkts,['3']
icmpMsgStatsOutPkts,['1']
icmpMsgStatsOutPkts,['8']
tcpRtoAlgorithm,['1']
tcpRtoMin,['200']
tcpRtoMax,['120000']
tcpMaxConn,['-1']
tcpActiveOpens,['44']
tcpPassiveOpens,['0']
tcpAttemptFails,['2']
tcpEstabResets,['0']
tcpCurrEstab,['0']
tcpInSegs,['5595']
tcpOutSegs,['4799']
tcpRetransSegs,['12']
tcpConnState,['2']
tcpConnState,['2']
tcpConnLocalAddress,['127.0.0.1']
tcpConnLocalAddress,['127.0.0.53']
tcpConnLocalPort,['631']
tcpConnLocalPort,['53']
tcpConnRemAddress,['0.0.0.0']
tcpConnRemAddress,['0.0.0.0']
tcpConnRemPort,['0']
tcpConnRemPort,['0']
tcpInErrs,['0']
tcpOutRsts,['23']
tcpListenerProcess,['0']
tcpListenerProcess,['0']
tcpListenerProcess,['0']
udpInDatagrams,['436938']
udpNoPorts,['4']
udpInErrors,['0']
udpOutDatagrams,['436965']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['0.0.0.0']
udpLocalAddress,['127.0.0.53']
udpLocalPort,['68']
udpLocalPort,['161']
udpLocalPort,['631']
udpLocalPort,['5353']
udpLocalPort,['38113']
udpLocalPort,['39846']
udpLocalPort,['48972']
udpLocalPort,['53']
udpEndpointProcess,['0']
udpEndpointProcess,['2767']
udpEndpointProcess,['0']
udpEndpointProcess,['0']
udpEndpointProcess,['0']
udpEndpointProcess,['0']
udpEndpointProcess,['2767']
udpEndpointProcess,['0']
udpEndpointProcess,['0']
udpEndpointProcess,['0']
udpEndpointProcess,['2767']
transmission.7.2.1.1.2,['2']
transmission.7.2.1.2.2,['0']
transmission.7.2.1.3.2,['0']
transmission.7.2.1.4.2,['0']
transmission.7.2.1.5.2,['0']
transmission.7.2.1.7.2,['0']
transmission.7.2.1.8.2,['0']
transmission.7.2.1.10.2,['0']
transmission.7.2.1.11.2,['0']
transmission.7.2.1.13.2,['0']
transmission.7.2.1.16.2,['0']
transmission.7.2.1.19.2,['3']
snmpInPkts,['218156']
snmpOutPkts,['218125']
snmpInBadVersions,['0']
snmpInBadCommunityNames,['0']
snmpInBadCommunityUses,['0']
snmpInASNParseErrs,['0']
snmpInTooBigs,['0']
snmpInNoSuchNames,['0']
snmpInBadValues,['0']
snmpInReadOnlys,['0']
snmpInGenErrs,['0']
snmpInTotalReqVars,['218134']
snmpInTotalSetVars,['0']
snmpInGetRequests,['160']
snmpInGetNexts,['217978']
snmpInSetRequests,['0']
snmpInGetResponses,['0']
snmpInTraps,['0']
snmpOutTooBigs,['0']
snmpOutNoSuchNames,['0']
snmpOutBadValues,['0']
snmpOutGenErrs,['0']
snmpOutGetRequests,['0']
snmpOutGetNexts,['0']
snmpOutSetRequests,['0']
snmpOutGetResponses,['218148']
snmpOutTraps,['1']
snmpEnableAuthenTraps,['2']
snmpSilentDrops,['0']
snmpProxyDrops,['0']
hrSystemUptime,['577706']
hrSystemDate,['\x07æ\x03\x06\x0e\x07\x03\x00-\x03\x00']
hrSystemInitialLoadDevice,['393216']
hrSystemInitialLoadParameters,['BOOT_IMAGE=/boot/vmlinuz-4.15.0-54-generic root=UUID=4fe11fb6-c877-4188-9c7b-e9fb89271d9f ro quiet splash\n']
hrSystemNumUsers,['1']
hrSystemProcesses,['137']
hrSystemMaxProcesses,['0']
hrMemorySize,['1009092']
hrStorageIndex,['1']
hrStorageIndex,['3']
hrStorageIndex,['6']
hrStorageIndex,['7']
hrStorageIndex,['8']
hrStorageIndex,['10']
hrStorageIndex,['31']
hrStorageIndex,['37']
hrStorageIndex,['39']
hrStorageIndex,['40']
hrStorageIndex,['41']
hrStorageIndex,['62']
hrStorageType,['.1.3.6.1.2.1.25.2.1.2']
hrStorageType,['.1.3.6.1.2.1.25.2.1.3']
hrStorageType,['.1.3.6.1.2.1.25.2.1.1']
hrStorageType,['.1.3.6.1.2.1.25.2.1.1']
hrStorageType,['.1.3.6.1.2.1.25.2.1.1']
hrStorageType,['.1.3.6.1.2.1.25.2.1.3']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageType,['.1.3.6.1.2.1.25.2.1.4']
hrStorageDescr,['Physical memory']
hrStorageDescr,['Virtual memory']
hrStorageDescr,['Memory buffers']
hrStorageDescr,['Cached memory']
hrStorageDescr,['Shared memory']
hrStorageDescr,['Swap space']
hrStorageDescr,['/']
hrStorageDescr,['/run']
hrStorageDescr,['/dev/shm']
hrStorageDescr,['/run/lock']
hrStorageDescr,['/sys/fs/cgroup']
hrStorageDescr,['/run/user/1000']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['1024']
hrStorageAllocationUnits,['4096']
hrStorageAllocationUnits,['4096']
hrStorageAllocationUnits,['4096']
hrStorageAllocationUnits,['4096']
hrStorageAllocationUnits,['4096']
hrStorageAllocationUnits,['4096']
hrStorageSize,['1009092']
hrStorageSize,['1979052']
hrStorageSize,['1009092']
hrStorageSize,['79988']
hrStorageSize,['5452']
hrStorageSize,['969960']
hrStorageSize,['5127316']
hrStorageSize,['25228']
hrStorageSize,['126136']
hrStorageSize,['1280']
hrStorageSize,['126136']
hrStorageSize,['25227']
hrStorageUsed,['947024']
hrStorageUsed,['1042000']
hrStorageUsed,['3896']
hrStorageUsed,['79988']
hrStorageUsed,['5452']
hrStorageUsed,['94976']
hrStorageUsed,['1881036']
hrStorageUsed,['267']
hrStorageUsed,['0']
hrStorageUsed,['1']
hrStorageUsed,['0']
hrStorageUsed,['6']
hrDeviceIndex,['196608']
hrDeviceIndex,['262145']
hrDeviceIndex,['262146']
hrDeviceIndex,['786432']
hrDeviceType,['.1.3.6.1.2.1.25.3.1.3']
hrDeviceType,['.1.3.6.1.2.1.25.3.1.4']
hrDeviceType,['.1.3.6.1.2.1.25.3.1.4']
hrDeviceType,['.1.3.6.1.2.1.25.3.1.12']
hrDeviceDescr,['GenuineIntel: Intel(R) Core(TM) i5-8210Y CPU @ 1.60GHz']
hrDeviceDescr,['network interface lo']
